login;region_catch
MNS1;MNS1
MNS2;MNS2
MNS3;MNS3
MNS4;MNS4
MNS5;MNS5
MNS6;MNS6
MNS7;MNS7
MNS8;MNS8
MNS9;MNS9
BRS1;BRS1
BRS2;BRS2
BRS3;BRS3
BRS4;BRS4
BRS5;BRS5
BRS6;BRS6
BRS7;BRS7
BRS8;BRS8
BRS9;BRS9
BRS10;BRS10
BRS11;BRS11
BRS12;BRS12
BRS13;BRS13
BRS14;BRS14
BRS15;BRS15
BRS16;BRS16
BRS17;BRS17
BRS18;BRS18
BRS19;BRS19
BRS20;BRS20
VIT1;VIT1
VIT2;VIT2
VIT3;VIT3
VIT4;VIT4
VIT5;VIT5
VIT6;VIT6
VIT7;VIT7
VIT8;VIT8
VIT9;VIT9
VIT10;VIT10
VIT11;VIT11
orsha1;VIT12
VIT13;VIT13
VIT14;VIT14
VIT15;VIT15
VIT16;VIT16
VIT17;VIT17
VIT18;VIT18
VIT19;VIT19
VIT20;VIT20
VIT21;VIT21
NEW_POL;VIT22
VIT23;VIT23
VIT24;VIT24
VIT25;VIT25
GOM1;GOM1
GOM2;GOM2
GOM3;GOM3
GOM4;GOM4
GOM5;GOM5
GOM6;GOM6
GOM7;GOM7
GOM8;GOM8
GOM9;GOM9
GOM10;GOM10
GOM11;GOM11
GOM12;GOM12
GOM13;GOM13
GOM14;GOM14
GOM15;GOM15
GOM16;GOM16
GOM17;GOM17
GOM18;GOM18
GOM19;GOM19
GOM20;GOM20
GOM21;GOM21
GOM22;GOM22
GOM23;GOM23
GOM24;GOM24
GOM25;GOM25
GOM26;GOM26
GRD1;GRD1
GRD2;GRD2
GRD3;GRD3
GRD4;GRD4
GRD5;GRD5
GRD6;GRD6
GRD7;GRD7
GRD8;GRD8
GRD9;GRD9
GRD10;GRD10
GRD11;GRD11
GRD12;GRD12
GRD13;GRD13
GRD14;GRD14
GRD15;GRD15
GRD16;GRD16
GRD17;GRD17
GRD18;GRD18
GRD19;GRD19
MNO1;MNO1
MNO2;MNO2
MNO3;MNO3
MNO4;MNO4
MNO5;MNO5
MNO6;MNO6
MNO7;MNO7
MNO8;MNO8
MNO9;MNO9
MNO10;MNO10
MNO11;MNO11
MNO12;MNO12
MNO13;MNO13
MNO14;MNO14
MNO15;MNO15
MNO16;MNO16
MNO17;MNO17
MNO18;MNO18
MNO19;MNO19
MNO20;MNO20
MNO21;MNO21
MNO22;MNO22
MNO23;MNO23
mogilev15;
MOG1;MOG1
MOG2;MOG2
MOG3;MOG3
MOG4;MOG4
MOG5;MOG5
MOG6;MOG6
MOG7;MOG7
MOG8;MOG8
MOG9;MOG9
MOG10;MOG10
MOG11;MOG11
MOG12;MOG12
MOG13;MOG13
MOG14;MOG14
MOG15;MOG15
MOG16;MOG16
MOG17;MOG17
MOG18;MOG18
MOG19;MOG19
MOG20;MOG20
MOG21;MOG21
MOG22;MOG22
MOG23;MOG23
MOG24;MOG24
MOG25;MOG25
MOG26;MOG26
MOG27;MOG27
